Id,Timestamp,Datetime,minute,Xvib,Yvib,Zvib
651,1669782086.898484,2022-11-30 13:21:26.898484,21,-2350,3352,-291
650,1669782086.929749,2022-11-30 13:21:26.929749,21,-2180,-3285,-12
651,1669782087.085953,2022-11-30 13:21:27.085953,21,-2322,3400,-347
650,1669782087.132865,2022-11-30 13:21:27.132865,21,-2156,-3297,20
651,1669782087.148498,2022-11-30 13:21:27.148498,21,-2310,3380,-311
650,1669782087.16376,2022-11-30 13:21:27.163760,21,-2120,-3281,-20
651,1669782087.398487,2022-11-30 13:21:27.398487,21,-2354,3360,-343
650,1669782087.523488,2022-11-30 13:21:27.523488,21,-2128,-3273,20
651,1669782087.539112,2022-11-30 13:21:27.539112,21,-2322,3384,-299
650,1669782087.695364,2022-11-30 13:21:27.695364,21,-2152,-3301,20
